titre,auteurs,description,isbn
L'odyssée du cybérius,Denis Ravel,"Rejoignez l'équipage du Cybérius en 2450 pour parcourir l'univers et ses secrets, en quête d'un futur pour l'Humanité. À cette époque, les fusées porteuses ne sont plus nécessaires, la puissance des moteurs atomiques suffit à propulser les vaisseaux hors de l’espace terrestre. Le Cybérius traversa donc l’atmosphère à grande vitesse et fut hors de vue quelques secondes plus tard... À bord les membres de l’équipage seront-ils à la hauteur des dangers à surmonter pour accomplir leur mission ? Un voyage dans l'espace-temps rempli de découvertes et d'aventures qui nous invite à dépasser les frontières de notre réel... EXTRAIT La rentrée dans le champ d’astéroïdes fut fracassante, le champ visuel des trois pilotes fut tout à coup comme parsemé d’étoiles. Isis menait le vaisseau avec une parfaite maîtrise. — Comme c’est beau ! s’écria Kennedy. — On se damnerait pour un tel paysage, répondit Isis en se tournant vers Goethe, le sourire aux lèvres. Le vaisseau, souple et aérien, semblait poursuivre sa route, traçant dans l’espace le sillon de son immuable destin. Soudain, tout sembla s’anéantir et se détruire en un instant, un terrible choc éclata contre les parois du Cybérius. Les témoins lumineux et sonores se mirent en action. — Destruction et dépressurisation en zones 4, 8, 12, 14 et 16, hurla Kennedy. L’astéroïde avait fait énormément de dégâts. — Nous avons perdu trois hommes en zone 4, deux hommes en zone 8 et trois femmes en zone 16. La moitié de l’équipage homme et un tiers des femmes en état d’hibernation venaient de disparaître, emportés ou tués par le vide sidéral. Les sirènes hurlaient, à l’intérieur du vaisseau les doublures s’agitaient avec un incroyable sang-froid. CE QU'EN PENSE LA CRITIQUE Une histoire SF qui évolue dans un univers fouillé empreint de péripéties étranges et de poésie. - Irisyne, Babelio À PROPOS DE L'AUTEUR Fils d’artistes peintres, Denis Ravel a été tour à tour publicitaire, puis éditeur. Passionné par les écrivains romantiques du XIXe siècle il apprécie particulièrement Edgar Allan Poe, Gérard de Nerval, Théophile Gautier, ainsi que les romans d’aventures. Citons : Typhon de Joseph Conrad, ou encore Lord Jim, voir entre autre les aventures d’Arthur Gordon Pym. Aujourd’hui auteur d’une vingtaine de romans et de nouvelles, il aime particulièrement écrire ce qu’il appelle ses duels amoureux. Il apprécie d’intégrer une note de fantastique dans ses histoires. Croyant, il manifeste clairement sa foi dans ses écrits.",9782876836846
La guerre des mondes,Herbert George Wells,"Les fables imaginées par H.G. Wells (1866-1946), l'un des pères, peut-être le plus notable, de la science-fiction, a démontré au fil du temps qu'il maintenait une vigueur et touchait certaines sources de l'inconscient humain qui les ont souvent élevées au rang d'icônes du monde moderne. . La guerre des mondes (1898), une histoire au rythme effréné qui raconte l'invasion de la Terre par les Martiens et qui pour la première fois a conduit à l'émergence d'êtres d'autres planètes de la nôtre, a largement marqué le fantasme du XXe siècle et a ouvert un Le récif (celui du contact des hommes avec des êtres extraterrestres) qui est rapidement devenu l'un des plus importants de la science-fiction, servant d'inspiration à de nombreux artistes plus tardifs dans les domaines de la radio, du cinéma, de la littérature et de la bande dessinée. et la télévision.",9798575594642
Le grand livre de science fiction,La Ligue Anonyme,Le grand livre de SCIENCE FICTION TOME 1 : 19 HISTOIRES SOMMAIRE 1. Cache-cash 2. Un jeu d'enfants 3. Le biscuit du malheur 4. Je souhaite que je puisse 5. L'hyperespace 6. Le patriote ingénieux 7. Le zoo interplanétaire 8. Le destin de Milton Lewis 9. Le Diable et le Trombone 10. Une rencontre avec les Aliens 11. 1010 connexions 12. Harry Le Protagoniste 13. Tommy le devin 14. L'égratignure 15. Corrida 16. La poussière te louera-t-elle? 17. Le chasseur d'insectes 18. La mission mortelle de Garette Darty 19. L'offre,9798756830637
La main tendue,Poul ANDERSON,"En 1950, Poul Anderson imagine l'anéantissement de la diversité culturelle par un impérialisme intergalactique. Poul Anderson (1926-2001) il a publié sa première nouvelle en 1947 dans le mythique pulp Astounding. Son diplôme de physique en poche, il deviendra l’un des auteurs majeurs de la science-fiction américaine des années 1950 et 1960. Il a écrit une centaine de romans et a remporté sept fois le prix Hugo et trois fois le prix Nebula.",9782369351405
La race à venir,Edward Sir Bulwer Lytton,"Où classer ce vrai roman de science-fiction, étonnant voyage au centre de la terre écrit en 1870 (soit six ans après celui de Jules Verne) : utopie à imiter ou effroyable dystopie destinée à avertir ses lecteurs ? Le narrateur est un explorateur qui a lu tout Tocqueville. En bon Américain, il ne rate jamais une occasion de vanter les mérites du système démocratique de sa tendre nation. Alors, le jour où il découvre une « race » matriarcale autocratique, réfugiée sous terre depuis les temps préhistoriques, toutes ses belles certitudes vacillent. Les ‘’Gy-ei’’ (les femmes) sont supérieures aux ‘’Ana’’ (hommes au stade régressif), même en force physique : elles atteignent une stature plus élevée et leurs formes plus arrondies renferment des muscles et des nerfs plus fermes que ceux des hommes, un fait important qui favorise le maintien des droits de la femme. Par-dessus tout, les Gy-ei ont domestiqué le fluide corporel qu’on appelle le ‘’Vril’’, lequel contient un élément de destruction si puissant (à l’image du cri des Fremen dans Dune de Franck Herbert) qu’il leur permet de voler dans les airs, de tuer à distance ou d’anéantir Londres ou New York ! On mesure vite que la force du Vril représente une terrible menace pour les hommes d’au-dessus, surtout si les femelles d’en-dessous décident un jour de remonter à la surface de la Terre...",9782385081140
Nebular 61 : combats pour éon,Thomas Rabenstein,"Les évènements qui se sont déroulés sur la mystérieuse planète Éon ont profondément affecté Magda et l’ont laissée pensive après qu’O’zeris, le Génorant renégat, lui ait révélé ses véritables désirs lors de la poursuite du Reine de L’Océan car l’ancien commandant en chef des troupes de la Fraternité Galactique capturé par Neurotim avant d’être renvoyé dans la Voie Lactée comme agent double a une folle envie de vivre le plus longtemps possible. Malgré toutes ses actions destinées à augmenter le chaos comme par exemple, l’utilisation de Morgotradon et les interventions visant à favoriser la chute de l’empire progonaute, il s’est rendu compte que son espérance de vie limitée ne pouvait que l’empêcher de réaliser ses plans à long terme. Bien que les échanges de coups entre Neurotim et Nebular perdurent depuis une éternité, il ne s’est finalement impliqué de façon décisive que durant relativement peu de temps, et, de son comportement, de l’atterrissage sur Éon, ainsi que des tentatives de contact précédentes, il apparaît indubitable qu’il poursuit ses propres buts à côté de la mission qui lui a été confiée depuis Andromède. Qu’il ait décidé de travailler en partie pour son compte ou qu’il ait même l’intention de se détacher de la dépendance de Neurotim reste pour l’instant difficile à déterminer, mais, le fait qu’il s’attache à différentes priorités rend ce penseur complexe encore plus imprévisible pour Magda et le Protectorat. La Mariner n’a malheureusement pas le temps de se pencher plus en profondeur sur ces questions car elle préfère se concentrer sur la façon de sauver son père et ses amis qui, au vu des dernières découvertes et contrairement à ce qui avait été précédemment supposé, sont toujours piégés dans la mégastructure du centre galactique. Sa mission de sauvetage va toutefois être perturbée par un évènement qui aura des conséquences tangibles pour toute la galaxie...",N/A
Aucune femme au monde,"Dominique BELLEC, Catherine Lucille MOORE","En 1944, Catherine Lucille Moore imagine une créature hybride dont l'humanité est aux prises avec la machine. Catherine L. Moore (1911- 1987) est une écrivaine de science-fiction et de fantasy étatsunienne. Elle fut l'une des premières femmes à se consacrer à ce genre et ouvrit la voie à de nombreuses autrices. Parmi ses titres les plus connus : Les aventures de Northwest Smith (Folio SF), qui met en scène un aventurier et contrebandier (prototype de Han Solo) sillonnant le système solaire et Jirel de Joiry (Folio SF), cycle plus ouvertement fantastique avec une femme pour personnage central.",9782369351016
Deux hommes dans les confins,Robert SHECKLEY,"Besoin d’une terraformation, d’une purification d’atmosphère, d’un assainissement d’écosphère ? Arnold et Gregor sont là pour résoudre les problèmes rencontrés par les nouveaux pionniers humains à travers la galaxie. Le premier est chimiste de formation, le second écologue. L’un est aussi extraverti et imprudent que l’autre est neurasthénique et précautionneux. Ensemble, ils ont fondé, avec plus de bonne volonté que de moyens, la société « AAA Les As de la Décontamination Planétaire ». Esprit d’entreprise et caisses perpétuellement vides les poussent à accepter les missions les plus délicates, voire les plus impossibles. Rien ne saurait pourtant entamer l’ingéniosité et la débrouillardise des deux compères, qui devront redoubler de ruse et d’habileté pour se tirer de mésaventures dans lesquelles le cocasse le dispute au loufoque. Robert Sheckley est né à Brooklyn en 1928 de parents russes. Soldat en Corée, voyageur hippie ou encore scénariste pour la télévision, il se fait connaître comme écrivain grâce à une plume qui n’épargne rien ni personne. À sa mort, en 2005, il laisse derrière lui une œuvre drôle, visionnaire, monumentale – plus de 200 textes ! –, aujourd’hui largement reconnue par la critique comme par nombre de ses pairs (Douglas Adams, J.G. Ballard, Neil Gaiman ou encore Christopher Priest).",9782494665156
Le mur de ténèbres,"Arthur C. Clarke, Iawa Tate","Arthur C. Clarke est l'un des grands maîtres de la SF moderne. Chantre de la conquête de l'espace, il fut également prophète de l'ère des télécommunications universelles, explorateur des fonds sous-marins, humoriste et commentateur de l'aventure humaine dans un univers recelant encore bien des mystères. La collection numérique Brage vous permettra d'explorer toutes ces différentes pistes à travers plus d'une centaine de nouvelles, indispensables à tout amoureux de la Science-Fiction.",9782820516787
Le monde aveugle,Daniel F. Galouye,"Depuis que Lumière a abandonné les hommes, personne n’a encore enfreint la loi et franchi la Barrière qui sépare les Niveaux du Monde Originel. Lorsque Jared s’y risque, c’est pour découvrir des monstres qui émettent un son qu’il n’avait encore jamais entendu. Se pourrait-il que ce son ait un rapport avec Lumière? À moins que ces monstres ne soient, au contraire, les émissaires d’Obscurité, le mal absolu? Et qui sont réellement les Ziveurs, ces hommes étranges qui se servent de leurs yeux pour écouter le monde? Nous plongeant dans un monde qui n’a jamais connu le jour, Daniel F. Galouye fait une fois de plus preuve d’une grande originalité. Le monde aveugle est, avec Simulacron 3, un des classiques de la science-fiction.",9782072456404
Le noir dessein,Philip José Farmer,"Le Fleuve de l'Eternité, long de trente-deux millions de kilomètres, serpente à la surface d'une planète spécialement remodelée par les Ethiques pour accueillir quarante milliards d'humains ressuscités. Toute l'humanité et un extra-terrestre. Dans quel but ? C'est la question que se posent Sam Clemens, Richard Burton, Jack London et Savinien Cyrano de Bergerac. La clef de l'énigme se trouve-t-elle dans la tour géante entrevue au pôle Nord comme le prétend un "" mystérieux inconnu "" qui est apparu à certains d'entre eux ? Avec celle de l'immortalité définitive. Après un premier échec, nos héros remontent à l'assaut par la voie du Fleuve et par celle des airs, aiguillonnés par la volonté de savoir et le désir d'entraver les projets sinistres de certains des occupants de la tour. La série du Fleuve de l'Eternité est un des chefs-d'oeuvre les plus fameux de la science-fiction. Mêlant science-fiction, aventures et histoire, elle a reçu le Prix Hugo pour son premier titre, Le Monde du Fleuve, publié dans la même collection. Le Noir Dessein est le troisième volume d'une fresque qui en comporte cinq.",9782253062820
La machine a explorer le temps,H. G. Wells,"L'histoireLondres, à l'extrême fin du XIXe siècle. Dans la maison d'un savant, un groupe d'amis écoute celui qui prétend être le premier voyageur du temps narrer ses aventures.Le voyageur du temps commence son récit en décrivant le monde de l'an 802 701. La Terre est habitée par les Éloïs, descendants des hommes. Androgynes, simplets et doux, ils passent leur temps à jouer tels des enfants et à manger des fruits dans le grand jardin qu'est devenue la Terre. À la surface de celle-ci, ne subsiste plus aucune mauvaise herbe, ni aucune autre espèce animale. Le monde semble être devenu un paradis.Seulement l'explorateur du temps ne tarde pas à se rendre compte que cette apparente harmonie cache un terrible secret. Des puits menant à des systèmes d'habitations souterraines sont répartis un peu partout, et un bruit de machine s'en échappe. C'est sous terre que vit une autre espèce descendante aussi des hommes, les Morlocks, sortes de singes blancs aux yeux rouges ne supportant plus la lumière à force de vivre dans l'obscurité. La nuit, ils vont et viennent à la surface en remontant par les puits, pour kidnapper des Éloïs dont ils se nourrissent, devenus ainsi leur bétail à leur insu.L'explorateur, dont la machine à voyager dans le temps a disparu, va devoir descendre sous terre affronter les Morlocks, s'il veut pouvoir retourner chez lui. Entre temps, il va se lier avec une Éloïe, Weena.Herbert George Wells, plus connu sous la signature H. G. Wells, né le 21 septembre 1866 à Bromley dans le Kent, Royaume-Uni et mort le 13 août 1946 à Londres, est un écrivain britannique surtout connu aujourd'hui pour ses romans de science-fiction. Il fut cependant également l'auteur de nombreux romans de satire sociale, d'oeuvres de prospective, de réflexions politiques et sociales ainsi que d'ouvrages de vulgarisation touchant aussi bien à la biologie, à l'histoire qu'aux questions sociales.BiographieIl fut un auteur très prolifique qui écrivit aussi bien des romans réalistes que de la science-fiction, comme des essais sur l'histoire de l'humanité ou l'évolution future de la société. Herbert George Wells fut un socialiste convaincu. Après 1900, ses oeuvres se firent de plus en plus politiques et didactiques. Il parait que sa femme l'aurait aidé à écrire ses textes.",9781519112040
Retraite de la terre,"Arthur C. Clarke, Colette Carrière","Arthur C. Clarke est l'un des grands maîtres de la SF moderne. Chantre de la conquête de l'espace, il fut également prophète de l'ère des télécommunications universelles, explorateur des fonds sous-marins, humoriste et commentateur de l'aventure humaine dans un univers recelant encore bien des mystères. La collection numérique Brage vous permettra d'explorer toutes ces différentes pistes à travers plus d'une centaine de nouvelles, indispensables à tout amoureux de la science-fiction.",9782820514707
Ceux qui ne voulaient pas mourir,P.-J. Hérault,"Voilà des décennies que la guerre fait rage entre la Terre et ses anciennes colonies. Une guerre sans merci, où l'on achève les blessés sur place tant les troupes sont faciles à remplacer. Au milieu du champ de bataille : Kajerhom, capitaine d'une section d'assaut de la Fédération, vient de tomber sous les tirs ennemis. Irradié, en plein désert, il attend la mort. Mais contre toute attente, il est recueilli par d'autres rescapés. Il tentera alors de survivre et de mener ceux qui ne voulaient pas mourir en sécurité. Mais comment se forger un avenir, quand votre propre camp souhaite votre mort ?",9791090648906
Le défi,Sabine du Faÿ,"Dans un monde où la curiosité est un très vilain défaut, Harrison ne pourra compter que sur son robot pour élucider les mystères qui l’entourent. Harrison est un jeune terrien. Il pose beaucoup de questions, auxquelles son robot et ami, Schram, refuse de répondre. Il aime rêver, sentir le parfum des roses, et aimerait pouvoir écouter de la musique. Mais tout cela est interdit sur Terre. Dans un monde où la curiosité est un très vilain défaut, Harrison ne pourra compter que sur son robot pour élucider les mystères qui l’entourent. Plongez le premier tome d'une saga de science-fiction jeunesse, et découvrez une planète Terre bien étrange, où règnent mystères, robots et interdictions. EXTRAIT Schram avait compris qu’il ne se débarrasserait pas aussi facilement des questions de l’enfant. « Heu... quelqu’un qui n’est pas branché... qui est débranché, quoi ! Heu... qui fait des choses différentes des autres. — Il y en a beaucoup ? » Schram s’était tortillé, très gêné : « Les Déconnectés sont en voie de disparition. Heu... Robert, je crois, est le seul qui reste. — Et les autres ? Que sont-ils devenus ? » Schram avait roulé des yeux, terrorisé : « Heu... Heu... Heu... » Harrison n’avait pas insisté : il ne supportait pas de voir son robot effrayé. « Je trouverai la réponse moi-même », avait-il pensé, déconcerté par sa réaction. Devant la porte d’entrée, une allée bien lisse traversait un gazon vert parfaitement entretenu. « Bonjour, Harrison ! » La petite tondeuse ovale, étincelante sous le soleil, fit un tour sur elle-même, envoya en l’air un jet d’herbe fraîchement coupée. « Bonjour, Rose, répondit Harrison, admiratif. Tu travailles vraiment bien : la pelouse est magnifique ! » Le métal de Rose se mit à rougeoyer légèrement : il n’y avait que Harrison pour parler aussi gentiment ! « Tout le monde considère qu’il est normal que je travaille comme ça, puisque je suis programmée pour travailler comme ça, pensa la tondeuse, mais quand même, un petit compliment, cela réchauffe mon moteur de platine À PROPOS DE L'AUTEUR Lassée de lire le futur de ses amies dans sa boule de cristal, Sabine du Faÿ, qui a hérité de son arrière-grand-mère le don de voyance, décide un jour de prédire quelque chose de plus ambitieux. Un soir de pluie, elle interroge sa boule de cristal sur l’avenir de la Terre. Ce qu’elle découvre est si terrible qu’elle décide d’en faire le récit, au risque de bouleverser ses lecteurs...",9782352845324
